Name,Spottimettä
Start Date,4/20/20
End Date,12/2/20

Date,App Units
4/20/20,0.0
4/21/20,77.0
4/22/20,22.0
4/23/20,12.0
4/24/20,15.0
4/25/20,9.0
4/26/20,16.0
4/27/20,22.0
4/28/20,6.0
4/29/20,6.0
4/30/20,4.0
5/1/20,15.0
5/2/20,5.0
5/3/20,15.0
5/4/20,6.0
5/5/20,3.0
5/6/20,11.0
5/7/20,6.0
5/8/20,10.0
5/9/20,18.0
5/10/20,15.0
5/11/20,9.0
5/12/20,6.0
5/13/20,11.0
5/14/20,14.0
5/15/20,9.0
5/16/20,11.0
5/17/20,8.0
5/18/20,5.0
5/19/20,5.0
5/20/20,3.0
5/21/20,10.0
5/22/20,2.0
5/23/20,7.0
5/24/20,13.0
5/25/20,5.0
5/26/20,5.0
5/27/20,6.0
5/28/20,5.0
5/29/20,12.0
5/30/20,7.0
5/31/20,8.0
6/1/20,9.0
6/2/20,9.0
6/3/20,4.0
6/4/20,1.0
6/5/20,6.0
6/6/20,8.0
6/7/20,3.0
6/8/20,2.0
6/9/20,5.0
6/10/20,6.0
6/11/20,7.0
6/12/20,7.0
6/13/20,9.0
6/14/20,10.0
6/15/20,5.0
6/16/20,3.0
6/17/20,5.0
6/18/20,1.0
6/19/20,8.0
6/20/20,2.0
6/21/20,5.0
6/22/20,15.0
6/23/20,12.0
6/24/20,8.0
6/25/20,6.0
6/26/20,2.0
6/27/20,2.0
6/28/20,11.0
6/29/20,3.0
6/30/20,3.0
7/1/20,6.0
7/2/20,6.0
7/3/20,5.0
7/4/20,9.0
7/5/20,7.0
7/6/20,6.0
7/7/20,6.0
7/8/20,4.0
7/9/20,5.0
7/10/20,7.0
7/11/20,4.0
7/12/20,7.0
7/13/20,16.0
7/14/20,6.0
7/15/20,7.0
7/16/20,8.0
7/17/20,6.0
7/18/20,8.0
7/19/20,2.0
7/20/20,4.0
7/21/20,5.0
7/22/20,5.0
7/23/20,6.0
7/24/20,3.0
7/25/20,6.0
7/26/20,3.0
7/27/20,9.0
7/28/20,5.0
7/29/20,5.0
7/30/20,6.0
7/31/20,3.0
8/1/20,3.0
8/2/20,3.0
8/3/20,4.0
8/4/20,3.0
8/5/20,7.0
8/6/20,6.0
8/7/20,7.0
8/8/20,6.0
8/9/20,6.0
8/10/20,5.0
8/11/20,5.0
8/12/20,5.0
8/13/20,4.0
8/14/20,6.0
8/15/20,5.0
8/16/20,3.0
8/17/20,3.0
8/18/20,8.0
8/19/20,3.0
8/20/20,4.0
8/21/20,4.0
8/22/20,5.0
8/23/20,4.0
8/24/20,6.0
8/25/20,3.0
8/26/20,4.0
8/27/20,2.0
8/28/20,2.0
8/29/20,4.0
8/30/20,2.0
8/31/20,3.0
9/1/20,8.0
9/2/20,5.0
9/3/20,2.0
9/4/20,1.0
9/5/20,1.0
9/6/20,6.0
9/7/20,7.0
9/8/20,0.0
9/9/20,3.0
9/10/20,1.0
9/11/20,4.0
9/12/20,6.0
9/13/20,9.0
9/14/20,4.0
9/15/20,4.0
9/16/20,0.0
9/17/20,2.0
9/18/20,4.0
9/19/20,0.0
9/20/20,4.0
9/21/20,1.0
9/22/20,1.0
9/23/20,2.0
9/24/20,5.0
9/25/20,0.0
9/26/20,2.0
9/27/20,3.0
9/28/20,4.0
9/29/20,0.0
9/30/20,1.0
10/1/20,4.0
10/2/20,1.0
10/3/20,4.0
10/4/20,3.0
10/5/20,4.0
10/6/20,1.0
10/7/20,0.0
10/8/20,1.0
10/9/20,0.0
10/10/20,4.0
10/11/20,2.0
10/12/20,3.0
10/13/20,3.0
10/14/20,2.0
10/15/20,3.0
10/16/20,4.0
10/17/20,3.0
10/18/20,1.0
10/19/20,0.0
10/20/20,0.0
10/21/20,2.0
10/22/20,0.0
10/23/20,1.0
10/24/20,0.0
10/25/20,3.0
10/26/20,1.0
10/27/20,0.0
10/28/20,2.0
10/29/20,0.0
10/30/20,2.0
10/31/20,2.0
11/1/20,4.0
11/2/20,1.0
11/3/20,1.0
11/4/20,0.0
11/5/20,3.0
11/6/20,1.0
11/7/20,3.0
11/8/20,0.0
11/9/20,0.0
11/10/20,3.0
11/11/20,2.0
11/12/20,0.0
11/13/20,0.0
11/14/20,1.0
11/15/20,4.0
11/16/20,1.0
11/17/20,0.0
11/18/20,1.0
11/19/20,0.0
11/20/20,0.0
11/21/20,1.0
11/22/20,1.0
11/23/20,0.0
11/24/20,2.0
11/25/20,0.0
11/26/20,0.0
11/27/20,0.0
11/28/20,0.0
11/29/20,1.0
11/30/20,1.0
12/1/20,0.0
12/2/20,3.0
